Generated by pymatgen.io.lammps.data.LammpsData

5250  atoms

   4  atom types

0.000000 38.499960  xlo xhi
0.000000 38.403545  ylo yhi
0.000000 51.705460  zlo zhi
-18.754125 1.774150 -15.550260  xy xz yz

Masses

1   6.941000
2  54.938045
3  78.960000
4  15.999400

Atoms

250   1  0.5250  20.311532  21.176354 45.663501
251   1  0.5250   1.208453   1.676931  6.041959
252   1  0.5250   1.563283  -1.433121 16.383051
253   1  0.5250   1.918113  -4.543173 26.724143
254   1  0.5250   2.272943  -7.653225 37.065235
255   1  0.5250   2.627773 -10.763277 47.406327
256   1  0.5250  -2.542372   9.357640  6.041959
257   1  0.5250  -2.187542   6.247588 16.383051
258   1  0.5250  -1.832712   3.137536 26.724143
259   1  0.5250  -1.477882   0.027484 37.065235
260   1  0.5250  -1.123052  -3.082568 47.406327
261   1  0.5250  -6.293197  17.038349  6.041959
262   1  0.5250  -5.938367  13.928297 16.383051
263   1  0.5250  -5.583537  10.818245 26.724143
264   1  0.5250  -5.228707   7.708193 37.065235
265   1  0.5250  -4.873877   4.598141 47.406327
266   1  0.5250 -10.044022  24.719058  6.041959
267   1  0.5250  -9.689192  21.609006 16.383051
268   1  0.5250  -9.334362  18.498954 26.724143
269   1  0.5250  -8.979532  15.388902 37.065235
270   1  0.5250  -8.624702  12.278850 47.406327
271   1  0.5250 -13.794847  32.399767  6.041959
272   1  0.5250 -13.440017  29.289715 16.383051
273   1  0.5250 -13.085187  26.179663 26.724143
274   1  0.5250 -12.730357  23.069611 37.065235
275   1  0.5250 -12.375527  19.959559 47.406327
276   1  0.5250   8.908445   1.676931  6.041959
277   1  0.5250   9.263275  -1.433121 16.383051
278   1  0.5250   9.618105  -4.543173 26.724143
279   1  0.5250   9.972935  -7.653225 37.065235
280   1  0.5250  10.327765 -10.763277 47.406327
281   1  0.5250   5.157620   9.357640  6.041959
282   1  0.5250   5.512450   6.247588 16.383051
283   1  0.5250   5.867280   3.137536 26.724143
284   1  0.5250   6.222110   0.027484 37.065235
285   1  0.5250   6.576940  -3.082568 47.406327
286   1  0.5250   1.406795  17.038349  6.041959
287   1  0.5250   1.761625  13.928297 16.383051
288   1  0.5250   2.116455  10.818245 26.724143
289   1  0.5250   2.471285   7.708193 37.065235
290   1  0.5250   2.826115   4.598141 47.406327
291   1  0.5250  -2.344030  24.719058  6.041959
292   1  0.5250  -1.989200  21.609006 16.383051
293   1  0.5250  -1.634370  18.498954 26.724143
294   1  0.5250  -1.279540  15.388902 37.065235
295   1  0.5250  -0.924710  12.278850 47.406327
296   1  0.5250  -6.094855  32.399767  6.041959
297   1  0.5250  -5.740025  29.289715 16.383051
298   1  0.5250  -5.385195  26.179663 26.724143
299   1  0.5250  -5.030365  23.069611 37.065235
300   1  0.5250  -4.675535  19.959559 47.406327
301   1  0.5250  16.608437   1.676931  6.041959
302   1  0.5250  16.963267  -1.433121 16.383051
303   1  0.5250  17.318097  -4.543173 26.724143
304   1  0.5250  17.672927  -7.653225 37.065235
305   1  0.5250  18.027757 -10.763277 47.406327
306   1  0.5250  12.857612   9.357640  6.041959
307   1  0.5250  13.212442   6.247588 16.383051
308   1  0.5250  13.567272   3.137536 26.724143
309   1  0.5250  13.922102   0.027484 37.065235
310   1  0.5250  14.276932  -3.082568 47.406327
311   1  0.5250   9.106787  17.038349  6.041959
312   1  0.5250   9.461617  13.928297 16.383051
313   1  0.5250   9.816447  10.818245 26.724143
314   1  0.5250  10.171277   7.708193 37.065235
315   1  0.5250  10.526107   4.598141 47.406327
316   1  0.5250   5.355962  24.719058  6.041959
317   1  0.5250   5.710792  21.609006 16.383051
318   1  0.5250   6.065622  18.498954 26.724143
319   1  0.5250   6.420452  15.388902 37.065235
320   1  0.5250   6.775282  12.278850 47.406327
321   1  0.5250   1.605137  32.399767  6.041959
322   1  0.5250   1.959967  29.289715 16.383051
323   1  0.5250   2.314797  26.179663 26.724143
324   1  0.5250   2.669627  23.069611 37.065235
325   1  0.5250   3.024457  19.959559 47.406327
326   1  0.5250  24.308429   1.676931  6.041959
327   1  0.5250  24.663259  -1.433121 16.383051
328   1  0.5250  25.018089  -4.543173 26.724143
329   1  0.5250  25.372919  -7.653225 37.065235
330   1  0.5250  25.727749 -10.763277 47.406327
331   1  0.5250  20.557604   9.357640  6.041959
332   1  0.5250  20.912434   6.247588 16.383051
333   1  0.5250  21.267264   3.137536 26.724143
334   1  0.5250  21.622094   0.027484 37.065235
335   1  0.5250  21.976924  -3.082568 47.406327
336   1  0.5250  16.806779  17.038349  6.041959
337   1  0.5250  17.161609  13.928297 16.383051
338   1  0.5250  17.516439  10.818245 26.724143
339   1  0.5250  17.871269   7.708193 37.065235
340   1  0.5250  18.226099   4.598141 47.406327
341   1  0.5250  13.055954  24.719058  6.041959
342   1  0.5250  13.410784  21.609006 16.383051
343   1  0.5250  13.765614  18.498954 26.724143
344   1  0.5250  14.120444  15.388902 37.065235
345   1  0.5250  14.475274  12.278850 47.406327
346   1  0.5250   9.305129  32.399767  6.041959
347   1  0.5250   9.659959  29.289715 16.383051
348   1  0.5250  10.014789  26.179663 26.724143
349   1  0.5250  10.369619  23.069611 37.065235
350   1  0.5250  10.724449  19.959559 47.406327
351   1  0.5250  32.008421   1.676931  6.041959
352   1  0.5250  32.363251  -1.433121 16.383051
353   1  0.5250  32.718081  -4.543173 26.724143
354   1  0.5250  33.072911  -7.653225 37.065235
355   1  0.5250  33.427741 -10.763277 47.406327
356   1  0.5250  28.257596   9.357640  6.041959
357   1  0.5250  28.612426   6.247588 16.383051
358   1  0.5250  28.967256   3.137536 26.724143
359   1  0.5250  29.322086   0.027484 37.065235
360   1  0.5250  29.676916  -3.082568 47.406327
361   1  0.5250  24.506771  17.038349  6.041959
362   1  0.5250  24.861601  13.928297 16.383051
363   1  0.5250  25.216431  10.818245 26.724143
