Generated by pymatgen.io.lammps.data.LammpsData

3200  atoms

   4  atom types

0.000000 22.461078  xlo xhi
0.000000 53.608416  ylo yhi
0.000000 31.862463  zlo zhi
5.170074 -0.677431 4.256297  xy xz yz

Masses

1   6.9410
2  51.9961
3  28.0855
4  15.9994

Atoms

299   2  1.5750 16.845721 36.164981 19.914573
300   2  1.5750 16.676363 37.229055 27.880189
301   2  1.5750 18.476954 47.438937  3.983342
302   2  1.5750 18.307597 48.503011 11.948957
303   2  1.5750 18.138239 49.567085 19.914573
304   2  1.5750 17.968881 50.631159 27.880189
305   2  1.5750 20.214669  7.232624  3.983342
306   2  1.5750 20.045311  8.296699 11.948957
307   2  1.5750 19.875953  9.360773 19.914573
308   2  1.5750 19.706596 10.424847 27.880189
309   2  1.5750 21.507187 20.634728  3.983342
310   2  1.5750 21.337829 21.698803 11.948957
311   2  1.5750 21.168472 22.762877 19.914573
312   2  1.5750 20.999114 23.826951 27.880189
313   2  1.5750 22.799705 34.036832  3.983342
314   2  1.5750 22.630348 35.100907 11.948957
315   2  1.5750 22.460990 36.164981 19.914573
316   2  1.5750 22.291633 37.229055 27.880189
317   2  1.5750 24.092224 47.438937  3.983342
318   2  1.5750 23.922866 48.503011 11.948957
319   2  1.5750 23.753509 49.567085 19.914573
320   2  1.5750 23.584151 50.631159 27.880189
321   2  1.5750  5.096997  3.234158  4.929011
322   2  1.5750  4.927639  4.298232 12.894627
323   2  1.5750  4.758282  5.362306 20.860243
324   2  1.5750  4.588924  6.426381 28.825859
325   2  1.5750  6.389515 16.636262  4.929011
326   2  1.5750  6.220158 17.700336 12.894627
327   2  1.5750  6.050800 18.764410 20.860243
328   2  1.5750  5.881442 19.828485 28.825859
329   2  1.5750  7.682034 30.038366  4.929011
330   2  1.5750  7.512676 31.102440 12.894627
331   2  1.5750  7.343318 32.166515 20.860243
332   2  1.5750  7.173961 33.230589 28.825859
333   2  1.5750  8.974552 43.440470  4.929011
334   2  1.5750  8.805195 44.504544 12.894627
335   2  1.5750  8.635837 45.568619 20.860243
336   2  1.5750  8.466479 46.632693 28.825859
337   2  1.5750 10.712266  3.234158  4.929011
338   2  1.5750 10.542909  4.298232 12.894627
339   2  1.5750 10.373551  5.362306 20.860243
340   2  1.5750 10.204193  6.426381 28.825859
341   2  1.5750 12.004785 16.636262  4.929011
342   2  1.5750 11.835427 17.700336 12.894627
343   2  1.5750 11.666069 18.764410 20.860243
344   2  1.5750 11.496712 19.828485 28.825859
345   2  1.5750 13.297303 30.038366  4.929011
346   2  1.5750 13.127946 31.102440 12.894627
347   2  1.5750 12.958588 32.166515 20.860243
348   2  1.5750 12.789230 33.230589 28.825859
349   2  1.5750 14.589822 43.440470  4.929011
350   2  1.5750 14.420464 44.504544 12.894627
351   2  1.5750 14.251106 45.568619 20.860243
352   2  1.5750 14.081749 46.632693 28.825859
353   2  1.5750 16.327536  3.234158  4.929011
354   2  1.5750 16.158178  4.298232 12.894627
355   2  1.5750 15.988821  5.362306 20.860243
356   2  1.5750 15.819463  6.426381 28.825859
357   2  1.5750 17.620054 16.636262  4.929011
358   2  1.5750 17.450697 17.700336 12.894627
359   2  1.5750 17.281339 18.764410 20.860243
360   2  1.5750 17.111981 19.828485 28.825859
361   2  1.5750 18.912573 30.038366  4.929011
362   2  1.5750 18.743215 31.102440 12.894627
363   2  1.5750 18.573857 32.166515 20.860243
364   2  1.5750 18.404500 33.230589 28.825859
365   2  1.5750 20.205091 43.440470  4.929011
366   2  1.5750 20.035733 44.504544 12.894627
367   2  1.5750 19.866376 45.568619 20.860243
368   2  1.5750 19.697018 46.632693 28.825859
369   2  1.5750 21.942805  3.234158  4.929011
370   2  1.5750 21.773448  4.298232 12.894627
371   2  1.5750 21.604090  5.362306 20.860243
372   2  1.5750 21.434732  6.426381 28.825859
373   2  1.5750 23.235324 16.636262  4.929011
374   2  1.5750 23.065966 17.700336 12.894627
375   2  1.5750 22.896608 18.764410 20.860243
376   2  1.5750 22.727251 19.828485 28.825859
377   2  1.5750 24.527842 30.038366  4.929011
378   2  1.5750 24.358485 31.102440 12.894627
379   2  1.5750 24.189127 32.166515 20.860243
