Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 26.839531  xlo xhi
0.000000 30.911487  ylo yhi
0.000000 37.891080  zlo zhi
0.033593 -13.348165 -7.706166  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

256   4 -1.0500  22.092790  6.269205  9.285550
257   4 -1.0500  23.875480  6.335706  0.380153
258   4 -1.0500  23.193512  6.178180  4.846633
259   1  0.5250   3.313113 14.996258  0.916471
260   2  1.5750   0.648112 12.692932  7.808992
261   1  0.5250  -2.375626 11.823746 11.246021
262   4 -1.0500   1.825661 13.634732  4.290664
263   2  1.5750   1.207291 10.952178  9.465363
264   1  0.5250  -0.813120  8.023008  2.924096
265   1  0.5250  -0.873105  7.821312 10.809358
266   1  0.5250  -0.693796 10.851627  7.408948
267   1  0.5250   1.396983  8.502319  0.962482
268   1  0.5250   0.803878  6.894654  8.774466
269   4 -1.0500  -1.961657  8.861527  7.127759
270   1  0.5250   0.177286 11.800463  3.462247
271   1  0.5250   0.089183  8.182737  6.884390
272   2  1.5750   1.290999  6.711372 10.955892
273   2  1.5750  -1.640216  7.034884  8.717554
274   3  1.5750  -2.031341  9.894910  9.678055
275   3  1.5750   1.491270 10.033503  7.306743
276   3  1.5750   2.313516  9.019326  5.085055
277   4 -1.0500   0.871803  9.574955  3.205098
278   4 -1.0500   0.584520  7.353746  4.870006
279   4 -1.0500   1.819536 10.919819  1.289035
280   4 -1.0500  -0.004191  9.093106  9.023908
281   4 -1.0500   1.449169 13.028564  1.825265
282   4 -1.0500   3.189870 12.466397  0.336251
283   4 -1.0500  -0.286229 11.171065 11.147976
284   4 -1.0500  -0.216876  9.799151  5.124919
285   4 -1.0500   1.169625 11.667770  5.562811
286   4 -1.0500  -1.124438 11.978210  5.430297
287   1  0.5250  -1.091758 11.978322  9.272481
288   2  1.5750   1.900656  7.239744  3.027768
289   3  1.5750   2.588374 11.453915  3.488660
290   3  1.5750   1.055918  9.118047 11.342998
291   4 -1.0500   2.413992  7.650596  7.084120
292   4 -1.0500  -3.136033  7.880043 10.276707
293   4 -1.0500  -3.796575  9.469419 11.848209
294   4 -1.0500   2.555307  8.723461  9.468271
295   4 -1.0500   2.971289 11.944525  8.117781
296   4 -1.0500  -0.364540 14.008619  3.426689
297   4 -1.0500   3.093802  9.258824  2.440015
298   4 -1.0500   1.876803 11.313539 11.805467
299   1  0.5250   0.179390 13.964380  5.965241
300   4 -1.0500  -1.346388  9.579571 12.336663
301   4 -1.0500   2.476785 13.534942  6.539373
302   4 -1.0500  -1.711769 13.258381  7.390317
303   1  0.5250   2.907081 12.948758 10.306998
304   2  1.5750   3.325811 11.195374  5.761134
305   2  1.5750  26.267762  9.996817  1.307894
306   2  1.5750  23.353434 12.943635  9.381773
307   4 -1.0500  23.814421 11.249652  7.900285
308   4 -1.0500  -2.415214  7.527227 12.552029
309   3  1.5750   3.660990 10.841048 10.181128
310   4 -1.0500   3.419548  9.358279 11.783541
311   2  1.5750  10.670121 13.459903  8.166834
312   1  0.5250   5.334307 12.664352 10.363932
313   4 -1.0500   7.447461 12.232895 11.626314
314   1  0.5250   5.441572 14.792220  1.511432
315   4 -1.0500   9.839684 14.132635  1.737294
316   4 -1.0500   8.795371 12.738989  9.416746
317   4 -1.0500   8.934898 10.633540  0.290504
