Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 25.838570  xlo xhi
0.000000 29.758665  ylo yhi
0.000000 36.477960  zlo zhi
0.032340 -12.850355 -7.418770  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

266   1  0.5250   2.177080 23.055388  1.211761
267   1  0.5250  -0.392991 21.571634  8.507353
268   1  0.5250  -2.963062 20.087880 15.802945
269   1  0.5250  -5.533133 18.604126 23.098537
270   1  0.5250  -8.103204 17.120372 30.394129
271   1  0.5250   2.183548 29.007121  1.211761
272   1  0.5250  -0.386523 27.523367  8.507353
273   1  0.5250  -2.956594 26.039613 15.802945
274   1  0.5250  -5.526665 24.555859 23.098537
275   1  0.5250  -8.096736 23.072105 30.394129
276   1  0.5250   7.325390  5.200189  1.211761
277   1  0.5250   4.755319  3.716435  8.507353
278   1  0.5250   2.185248  2.232681 15.802945
279   1  0.5250  -0.384823  0.748927 23.098537
280   1  0.5250  -2.954894 -0.734827 30.394129
281   1  0.5250   7.331858 11.151922  1.211761
282   1  0.5250   4.761787  9.668168  8.507353
283   1  0.5250   2.191716  8.184414 15.802945
284   1  0.5250  -0.378355  6.700660 23.098537
285   1  0.5250  -2.948426  5.216906 30.394129
286   1  0.5250   7.338326 17.103655  1.211761
287   1  0.5250   4.768255 15.619901  8.507353
288   1  0.5250   2.198184 14.136147 15.802945
289   1  0.5250  -0.371887 12.652393 23.098537
290   1  0.5250  -2.941958 11.168639 30.394129
291   1  0.5250   7.344794 23.055388  1.211761
292   1  0.5250   4.774723 21.571634  8.507353
293   1  0.5250   2.204652 20.087880 15.802945
294   1  0.5250  -0.365419 18.604126 23.098537
295   1  0.5250  -2.935490 17.120372 30.394129
296   1  0.5250   7.351262 29.007121  1.211761
297   1  0.5250   4.781191 27.523367  8.507353
298   1  0.5250   2.211120 26.039613 15.802945
299   1  0.5250  -0.358951 24.555859 23.098537
300   1  0.5250  -2.929022 23.072105 30.394129
301   1  0.5250  12.493104  5.200189  1.211761
302   1  0.5250   9.923033  3.716435  8.507353
303   1  0.5250   7.352962  2.232681 15.802945
304   1  0.5250   4.782891  0.748927 23.098537
305   1  0.5250   2.212820 -0.734827 30.394129
306   1  0.5250  12.499572 11.151922  1.211761
307   1  0.5250   9.929501  9.668168  8.507353
308   1  0.5250   7.359430  8.184414 15.802945
309   1  0.5250   4.789359  6.700660 23.098537
310   1  0.5250   2.219288  5.216906 30.394129
311   1  0.5250  12.506040 17.103655  1.211761
312   1  0.5250   9.935969 15.619901  8.507353
313   1  0.5250   7.365898 14.136147 15.802945
314   1  0.5250   4.795827 12.652393 23.098537
315   1  0.5250   2.225756 11.168639 30.394129
316   1  0.5250  12.512508 23.055388  1.211761
317   1  0.5250   9.942437 21.571634  8.507353
318   1  0.5250   7.372366 20.087880 15.802945
319   1  0.5250   4.802295 18.604126 23.098537
320   1  0.5250   2.232224 17.120372 30.394129
321   1  0.5250  12.518976 29.007121  1.211761
322   1  0.5250   9.948905 27.523367  8.507353
323   1  0.5250   7.378834 26.039613 15.802945
324   1  0.5250   4.808763 24.555859 23.098537
325   1  0.5250   2.238692 23.072105 30.394129
326   1  0.5250  17.660818  5.200189  1.211761
327   1  0.5250  15.090747  3.716435  8.507353
328   1  0.5250  12.520676  2.232681 15.802945
329   1  0.5250   9.950605  0.748927 23.098537
330   1  0.5250   7.380534 -0.734827 30.394129
331   1  0.5250  17.667286 11.151922  1.211761
332   1  0.5250  15.097215  9.668168  8.507353
333   1  0.5250  12.527144  8.184414 15.802945
334   1  0.5250   9.957073  6.700660 23.098537
335   1  0.5250   7.387002  5.216906 30.394129
336   1  0.5250  17.673754 17.103655  1.211761
337   1  0.5250  15.103683 15.619901  8.507353
338   1  0.5250  12.533612 14.136147 15.802945
339   1  0.5250   9.963541 12.652393 23.098537
340   1  0.5250   7.393470 11.168639 30.394129
341   1  0.5250  17.680222 23.055388  1.211761
342   1  0.5250  15.110151 21.571634  8.507353
343   1  0.5250  12.540080 20.087880 15.802945
344   1  0.5250   9.970009 18.604126 23.098537
345   1  0.5250   7.399938 17.120372 30.394129
346   1  0.5250  17.686690 29.007121  1.211761
347   1  0.5250  15.116619 27.523367  8.507353
348   1  0.5250  12.546548 26.039613 15.802945
349   1  0.5250   9.976477 24.555859 23.098537
350   1  0.5250   7.406406 23.072105 30.394129
351   1  0.5250  22.828532  5.200189  1.211761
352   1  0.5250  20.258461  3.716435  8.507353
353   1  0.5250  17.688390  2.232681 15.802945
